mass[GeV]	e_e	mu_mu	tau_tau	nue_nue	numu_numu	nutau_nutau	quarks
0.228	2.0394542425293648e-09	1.0923244841856101e-09	0.0	0.0	0.0	0.0	0.003246263440411972
0.229	2.048399217282682e-09	1.123073894607421e-09	0.0	0.0	0.0	0.0	0.003337179526186813
0.23	2.057344192035929e-09	1.1528521518144729e-09	0.0	0.0	0.0	0.0	0.0034252367845850197
0.231	2.0662891667891083e-09	1.1817372890698247e-09	0.0	0.0	0.0	0.0	0.0035106639791616925
0.232	2.0752341415422207e-09	1.2097976696044768e-09	0.0	0.0	0.0	0.0	0.003593661644803182
0.233	2.084179116295268e-09	1.2370935965370256e-09	0.0	0.0	0.0	0.0	0.003674406768358536
0.234	2.093124091048251e-09	1.2636785923171598e-09	0.0	0.0	0.0	0.0	0.0037530565121467116
0.23500000000000001	2.1020690658011714e-09	1.2896004271583875e-09	0.0	0.0	0.0	0.0	0.003829751209644058
0.23600000000000002	2.1110140405540306e-09	1.314901954265403e-09	0.0	0.0	0.0	0.0	0.0039046168003738094
0.23700000000000002	2.1199590153068303e-09	1.3396217945439164e-09	0.0	0.0	0.0	0.0	0.003977766827485755
0.23800000000000002	2.1289039900595704e-09	1.3637949027515888e-09	0.0	0.0	0.0	0.0	0.004049304090577084
0.23900000000000002	2.137848964812254e-09	1.387453039317458e-09	0.0	0.0	0.0	0.0	0.004119322023985643
0.24000000000000002	2.1467939395648802e-09	1.4106251664080858e-09	0.0	0.0	0.0	0.0	0.004187905854460031
0.241	2.155738914317452e-09	1.4333377826379375e-09	0.0	0.0	0.0	0.0	0.0042551335800158786
0.242	2.1646838890699696e-09	1.4556152076908438e-09	0.0	0.0	0.0	0.0	0.004321076802721806
0.243	2.1736288638224342e-09	1.4774798257494011e-09	0.0	0.0	0.0	0.0	0.00438580144128972
0.244	2.1825738385748476e-09	1.4989522948169506e-09	0.0	0.0	0.0	0.0	0.004449368344087418
0.245	2.1915188133272093e-09	1.5200517276178303e-09	0.0	0.0	0.0	0.0	0.004511833819130625
0.246	2.2004637880795217e-09	1.5407958486723805e-09	0.0	0.0	0.0	0.0	0.004573250094447539
0.247	2.2094087628317854e-09	1.5612011312880245e-09	0.0	0.0	0.0	0.0	0.004633665719723241
0.248	2.218353737584001e-09	1.5812829175312854e-09	0.0	0.0	0.0	0.0	0.004693125918163781
0.249	2.2272987123361696e-09	1.6010555237065808e-09	0.0	0.0	0.0	0.0	0.004751672895951075
0.25	2.236243687088293e-09	1.6205323334352571e-09	0.0	0.0	0.0	0.0	0.004809346115400747
0.251	2.2451886618403714e-09	1.63972588007926e-09	0.0	0.0	0.0	0.0	0.004866182536918099
0.252	2.254133636592405e-09	1.658647919970329e-09	0.0	0.0	0.0	0.0	0.004922216834021035
0.253	2.263078611344396e-09	1.677309497674047e-09	0.0	0.0	0.0	0.0	0.004977481585023539
0.254	2.272023586096344e-09	1.695721004327914e-09	0.0	0.0	0.0	0.0	0.005032007444418529
0.255	2.2809685608482514e-09	1.7138922299356435e-09	0.0	0.0	0.0	0.0	0.005085823296540794
0.256	2.289913535600118e-09	1.7318324103697148e-09	0.0	0.0	0.0	0.0	0.005138956393710668
0.257	2.2988585103519437e-09	1.7495502697257274e-09	0.0	0.0	0.0	0.0	0.005191432480742206
0.258	2.3078034851037313e-09	1.7670540585813198e-09	0.0	0.0	0.0	0.0	0.0052432759074344405
0.259	2.3167484598554796e-09	1.7843515886361338e-09	0.0	0.0	0.0	0.0	0.005294509730441264
0.26	2.3256934346071903e-09	1.8014502641449176e-09	0.0	0.0	0.0	0.0	0.005345155805727258
0.261	2.3346384093588654e-09	1.818357110501339e-09	0.0	0.0	0.0	0.0	0.005395234872657351
0.262	2.3435833841105025e-09	1.8350788002837425e-09	0.0	0.0	0.0	0.0	0.005444766630632577
0.263	2.3525283588621056e-09	1.851621677034519e-09	0.0	0.0	0.0	0.0	0.005493769809068495
0.264	2.3614733336136715e-09	1.8679917770109443e-09	0.0	0.0	0.0	0.0	0.005542262231413772
0.265	2.3704183083652048e-09	1.884194849116257e-09	0.0	0.0	0.0	0.0	0.0055902608738213205
0.266	2.379363283116704e-09	1.9002363731947397e-09	0.0	0.0	0.0	0.0	0.005637781919011152
0.267	2.3883082578681708e-09	1.9161215768529237e-09	0.0	0.0	0.0	0.0	0.005684840805800676
0.268	2.3972532326196056e-09	1.9318554509503286e-09	0.0	0.0	0.0	0.0	0.0057314522747233835
0.269	2.4061982073710078e-09	1.9474427638868617e-09	0.0	0.0	0.0	0.0	0.005777630410109064
0.27	2.4151431821223785e-09	1.9628880747998304e-09	0.0	0.0	0.0	0.0	0.005823388678957285
0.271	2.42408815687372e-09	1.9781957457711553e-09	0.0	0.0	0.0	0.0	0.005868739966899452
0.272	2.4330331316250297e-09	1.993369953134532e-09	0.0	0.0	0.0	0.0	0.005913696611513104
